tienda_id,fecha,ventas,experiencia_gerente,marketing_regional
2,2018-01-31,152591.24,6.08,10385.1
2,2018-03-02,142750.64,6.17,10012.22
2,2018-04-01,147321.4,6.25,9531.67
2,2018-05-01,143438.45,6.33,9690.69
2,2018-05-31,136932.96,6.42,10659.62
2,2018-07-01,148785.49,6.5,10300.74
2,2018-07-31,150499.78,6.58,10582.49
2,2018-08-31,152069.94,6.67,10935.08
2,2018-10-01,158223.47,6.75,10156.91
2,2018-10-31,150654.49,6.83,10173.35
2,2018-11-30,144390.47,6.92,10229.08
2,2018-12-31,145266.07,7.0,10484.77
2,2019-01-30,156417.89,7.08,11186.29
2,2019-03-01,151590.23,7.17,11210.02
2,2019-03-31,157304.38,7.25,11283.03
2,2019-05-01,153472.95,7.33,11145.06
2,2019-05-31,146663.92,7.42,11270.44
2,2019-07-01,155097.66,7.5,11295.12
2,2019-07-31,156730.07,7.58,11488.75
2,2019-08-30,157833.02,7.67,11586.35
2,2019-09-30,163155.08,7.75,11603.25
2,2019-10-30,156294.57,7.83,11520.13
2,2019-11-30,150456.95,7.92,11516.48
2,2019-12-30,151323.08,8.0,11762.3
2,2020-01-29,161048.96,8.08,12192.5
2,2020-02-29,156323.94,8.17,12217.16
2,2020-03-30,162295.91,8.25,12365.17
2,2020-04-29,157736.0,8.33,12371.74
2,2020-05-29,150824.23,8.42,12301.69
2,2020-06-29,159530.43,8.5,12497.04
2,2020-07-29,161614.96,8.58,12683.94
2,2020-08-28,162086.52,8.67,12503.24
2,2020-09-28,167882.26,8.75,12834.01
2,2020-10-28,160867.76,8.83,12822.46
2,2020-11-27,154248.93,8.92,12760.31
2,2020-12-28,155554.78,9.0,12920.65
2,2021-01-27,164821.57,9.08,13158.55
2,2021-02-26,160010.59,9.17,13251.64
2,2021-03-29,165155.43,9.25,13360.77
2,2021-04-28,160410.63,9.33,13262.15
2,2021-05-28,152709.81,9.42,13222.18
2,2021-06-27,161202.93,9.5,13418.57
2,2021-07-27,163071.7,9.58,13591.13
2,2021-08-27,163725.16,9.67,13661.16
2,2021-09-26,169197.66,9.75,13598.81
2,2021-10-26,162590.22,9.83,13664.24
2,2021-11-26,155694.75,9.92,13627.02
2,2021-12-26,157546.68,10.0,13795.59
2,2022-01-25,166418.66,10.08,13996.11
2,2022-02-24,161822.38,10.17,14088.35
2,2022-03-27,166827.67,10.25,14188.76
2,2022-04-26,161993.57,10.33,14138.83
2,2022-05-26,154388.94,10.42,14092.68
2,2022-06-25,162908.62,10.5,14299.71
2,2022-07-25,164741.05,10.58,14470.18
2,2022-08-25,165439.42,10.67,14435.03
2,2022-09-24,170669.58,10.75,14466.86
2,2022-10-24,164057.24,10.83,14532.79
2,2022-11-23,157175.78,10.92,14537.47
2,2022-12-23,158908.77,11.0,14674.28
3,2018-01-01,154564.83,7.0,10317.91
3,2018-01-31,156908.11,7.08,10385.1
3,2018-03-02,147067.51,7.17,10012.22
3,2018-04-01,151638.27,7.25,9531.67
3,2018-05-01,147755.32,7.33,9690.69
3,2018-05-31,141249.83,7.42,10659.62
3,2018-07-01,153102.36,7.5,10300.74
3,2018-07-31,154816.65,7.58,10582.49
3,2018-08-31,156386.81,7.67,10935.08
3,2018-10-01,162540.34,7.75,10156.91
3,2018-10-31,154971.36,7.83,10173.35
3,2018-11-30,148707.34,7.92,10229.08
3,2018-12-31,149582.94,8.0,10484.77
3,2019-01-30,160734.76,8.08,11186.29
3,2019-03-01,155907.1,8.17,11210.02
3,2019-03-31,161621.25,8.25,11283.03
3,2019-05-01,157789.82,8.33,11145.06
3,2019-05-31,150980.79,8.42,11270.44
3,2019-07-01,159414.53,8.5,11295.12
3,2019-07-31,161046.94,8.58,11488.75
3,2019-08-30,162150.89,8.67,11586.35
3,2019-09-30,167471.95,8.75,11603.25
3,2019-10-30,160611.44,8.83,11520.13
3,2019-11-30,154773.82,8.92,11516.48
3,2019-12-30,155639.95,9.0,11762.3
3,2020-01-29,165365.83,9.08,12192.5
3,2020-02-29,160640.81,9.17,12217.16
3,2020-03-30,166612.78,9.25,12365.17
3,2020-04-29,162052.87,9.33,12371.74
3,2020-05-29,155141.1,9.42,12301.69
3,2020-06-29,163847.3,9.5,12497.04
3,2020-07-29,165931.83,9.58,12683.94
3,2020-08-28,166403.39,9.67,12503.24
3,2020-09-28,172199.13,9.75,12834.01
3,2020-10-28,165184.63,9.83,12822.46
3,2020-11-27,158565.8,9.92,12760.31
3,2020-12-28,159871.65,10.0,12920.65
3,2021-01-27,169138.44,10.08,13158.55
3,2021-02-26,164327.46,10.17,13251.64
3,2021-03-29,169472.3,10.25,13360.77
3,2021-04-28,164727.5,10.33,13262.15
3,2021-05-28,157026.68,10.42,13222.18
3,2021-06-27,165519.79,10.5,13418.57
3,2021-07-27,167388.57,10.58,13591.13
3,2021-08-27,168042.03,10.67,13661.16
3,2021-09-26,173514.53,10.75,13598.81
3,2021-10-26,166907.09,10.83,13664.24
3,2021-11-26,160011.62,10.92,13627.02
3,2021-12-26,161863.55,11.0,13795.59
3,2022-01-25,170735.53,11.08,13996.11
3,2022-02-24,166200.25,11.17,14088.35
3,2022-03-27,171144.54,11.25,14188.76
3,2022-04-26,166310.44,11.33,14138.83
3,2022-05-26,158705.81,11.42,14092.68
3,2022-06-25,167225.5,11.5,14299.71
3,2022-07-25,169057.92,11.58,14470.18
3,2022-08-25,169756.3,11.67,14435.03
3,2022-09-24,174986.45,11.75,14466.86
3,2022-10-24,168374.11,11.83,14532.79
3,2022-11-23,161492.65,11.92,14537.47
3,2022-12-23,163225.64,12.0,14674.28
4,2018-01-01,152912.18,6.0,10317.91
4,2018-01-31,155261.03,6.08,10385.1
4,2018-03-02,145404.97,6.17,10012.22
4,2018-04-01,149959.08,6.25,9531.67
4,2018-05-01,146039.69,6.33,9690.69
4,2018-05-31,139556.76,6.42,10659.62
4,2018-07-01,151329.83,6.5,10300.74
4,2018-07-31,153027.6,6.58,10582.49
4,2018-08-31,154737.95,6.67,10935.08
4,2018-10-01,160756.24,6.75,10156.91
4,2018-10-31,153160.77,6.83,10173.35
4,2018-11-30,146860.59,6.92,10229.08
4,2018-12-31,147814.93,7.0,10484.77
4,2019-01-30,158865.25,7.08,11186.29
4,2019-03-01,153995.8,7.17,11210.02
4,2019-03-31,159740.0,7.25,11283.03
4,2019-05-01,155799.88,7.33,11145.06
4,2019-05-31,148967.62,7.42,11270.44
4,2019-07-01,157321.46,7.5,11295.12
4,2019-07-31,159003.55,7.58,11488.75
4,2019-08-30,160010.45,7.67,11586.35
4,2019-09-30,165287.6,7.75,11603.25
4,2019-10-30,158421.32,7.83,11520.13
4,2019-11-30,152541.38,7.92,11516.48
4,2019-12-30,153496.08,8.0,11762.3
4,2020-01-29,163073.32,8.08,12192.5
4,2020-02-29,158398.9,8.17,12217.16
4,2020-03-30,164319.34,8.25,12365.17
4,2020-04-29,159754.21,8.33,12371.74
4,2020-05-29,152865.0,8.42,12301.69
4,2020-06-29,161546.51,8.5,12497.04
4,2020-07-29,163581.08,8.58,12683.94
4,2020-08-28,164132.88,8.67,12503.24
4,2020-09-28,169680.1,8.75,12834.01
4,2020-10-28,162657.49,8.83,12822.46
4,2020-11-27,156006.1,8.92,12760.31
4,2020-12-28,157388.92,9.0,12920.65
4,2021-01-27,166442.27,9.08,13158.55
4,2021-02-26,161726.24,9.17,13251.64
4,2021-03-29,166779.62,9.25,13360.77
4,2021-04-28,162024.16,9.33,13262.15
4,2021-05-28,154248.8,9.42,13222.18
4,2021-06-27,162816.66,9.5,13418.57
4,2021-07-27,164673.23,9.58,13591.13
4,2021-08-27,165383.18,9.67,13661.16
4,2021-09-26,170817.58,9.75,13598.81
4,2021-10-26,164157.65,9.83,13664.24
4,2021-11-26,157297.03,9.92,13627.02
4,2021-12-26,159187.97,10.0,13795.59
4,2022-01-25,168065.17,10.08,13996.11
4,2022-02-24,163488.16,10.17,14088.35
4,2022-03-27,168434.39,10.25,14188.76
4,2022-04-26,163654.55,10.33,14138.83
4,2022-05-26,156001.31,10.42,14092.68
4,2022-06-25,164573.74,10.5,14299.71
4,2022-07-25,166405.09,10.58,14470.18
4,2022-08-25,167104.99,10.67,14435.03
4,2022-09-24,172322.09,10.75,14466.86
4,2022-10-24,165706.77,10.83,14532.79
4,2022-11-23,158804.37,10.92,14537.47
4,2022-12-23,160533.4,11.0,14674.28
5,2018-01-01,139945.74,4.0,10317.91
5,2018-01-31,142294.6,4.08,10385.1
5,2018-03-02,132439.53,4.17,10012.22
5,2018-04-01,136993.65,4.25,9531.67
5,2018-05-01,133074.26,4.33,9690.69
5,2018-05-31,126591.33,4.42,10659.62
5,2018-07-01,138364.4,4.5,10300.74
5,2018-07-31,140062.17,4.58,10582.49
5,2018-08-31,141772.52,4.67,10935.08
5,2018-10-01,147790.81,4.75,10156.91
5,2018-10-31,140195.34,4.83,10173.35
5,2018-11-30,133895.16,4.92,10229.08
5,2018-12-31,134849.5,5.0,10484.77
5,2019-01-30,145900.82,5.08,11186.29
5,2019-03-01,141031.37,5.17,11210.02
5,2019-03-31,146774.57,5.25,11283.03
5,2019-05-01,142834.45,5.33,11145.06
5,2019-05-31,136002.19,5.42,11270.44
5,2019-07-01,144574.69,5.5,11295.12
5,2019-07-31,146206.67,5.58,11488.75
5,2019-08-30,147214.65,5.67,11586.35
5,2019-09-30,152491.73,5.75,11603.25
5,2019-10-30,145625.88,5.83,11520.13
5,2019-11-30,139775.75,5.92,11516.48
5,2019-12-30,140730.1,6.0,11762.3
5,2020-01-29,150107.89,6.08,12192.5
5,2020-02-29,145433.47,6.17,12217.16
5,2020-03-30,151353.91,6.25,12365.17
5,2020-04-29,146588.78,6.33,12371.74
5,2020-05-29,139700.04,6.42,12301.69
5,2020-06-29,148381.08,6.5,12497.04
5,2020-07-29,150415.65,6.58,12683.94
5,2020-08-28,150967.45,6.67,12503.24
5,2020-09-28,156514.67,6.75,12834.01
5,2020-10-28,149692.06,6.83,12822.46
5,2020-11-27,143040.67,6.92,12760.31
5,2020-12-28,144423.5,7.0,12920.65
5,2021-01-27,153476.84,7.08,13158.55
5,2021-02-26,148760.81,7.17,13251.64
5,2021-03-29,153814.19,7.25,13360.77
5,2021-04-28,149058.73,7.33,13262.15
5,2021-05-28,141283.37,7.42,13222.18
5,2021-06-27,149851.23,7.5,13418.57
5,2021-07-27,151707.8,7.58,13591.13
5,2021-08-27,152417.75,7.67,13661.16
5,2021-09-26,157852.15,7.75,13598.81
5,2021-10-26,151192.22,7.83,13664.24
5,2021-11-26,144331.6,7.92,13627.02
5,2021-12-26,146222.54,8.0,13795.59
5,2022-01-25,155100.74,8.08,13996.11
5,2022-02-24,150523.73,8.17,14088.35
5,2022-03-27,155468.96,8.25,14188.76
5,2022-04-26,150689.12,8.33,14138.83
5,2022-05-26,143035.88,8.42,14092.68
5,2022-06-25,151608.31,8.5,14299.71
5,2022-07-25,153439.66,8.58,14470.18
5,2022-08-25,154139.56,8.67,14435.03
5,2022-09-24,159357.66,8.75,14466.86
5,2022-10-24,152742.34,8.83,14532.79
5,2022-11-23,145840.0,8.92,14537.47
5,2022-12-23,147569.03,9.0,14674.28
6,2018-01-01,139683.74,4.0,10317.91
6,2018-01-31,142032.6,4.08,10385.1
6,2018-03-02,132172.96,4.17,10012.22
6,2018-04-01,136727.07,4.25,9531.67
6,2018-05-01,132808.68,4.33,9690.69
6,2018-05-31,126325.75,4.42,10659.62
6,2018-07-01,138098.83,4.5,10300.74
6,2018-07-31,139796.6,4.58,10582.49
6,2018-08-31,141506.95,4.67,10935.08
6,2018-10-01,147525.24,4.75,10156.91
6,2018-10-31,139929.77,4.83,10173.35
6,2018-11-30,133629.59,4.92,10229.08
6,2018-12-31,134583.93,5.0,10484.77
6,2019-01-30,145634.25,5.08,11186.29
6,2019-03-01,140764.8,5.17,11210.02
6,2019-03-31,146508.99,5.25,11283.03
6,2019-05-01,142568.88,5.33,11145.06
6,2019-05-31,135736.62,5.42,11270.44
6,2019-07-01,144309.11,5.5,11295.12
6,2019-07-31,145941.09,5.58,11488.75
6,2019-08-30,146949.07,5.67,11586.35
6,2019-09-30,152226.15,5.75,11603.25
6,2019-10-30,145360.29,5.83,11520.13
6,2019-11-30,139519.75,5.92,11516.48
6,2019-12-30,140474.1,6.0,11762.3
6,2020-01-29,149842.89,6.08,12192.5
6,2020-02-29,145168.47,6.17,12217.16
6,2020-03-30,151088.91,6.25,12365.17
6,2020-04-29,146323.78,6.33,12371.74
6,2020-05-29,139434.61,6.42,12301.69
6,2020-06-29,148115.51,6.5,12497.04
6,2020-07-29,150150.08,6.58,12683.94
6,2020-08-28,150701.88,6.67,12503.24
6,2020-09-28,156249.09,6.75,12834.01
6,2020-10-28,149426.49,6.83,12822.46
6,2020-11-27,142775.09,6.92,12760.31
6,2020-12-28,144157.91,7.0,12920.65
6,2021-01-27,153211.25,7.08,13158.55
6,2021-02-26,148495.22,7.17,13251.64
6,2021-03-29,153548.6,7.25,13360.77
6,2021-04-28,148793.14,7.33,13262.15
6,2021-05-28,141017.78,7.42,13222.18
6,2021-06-27,149586.19,7.5,13418.57
6,2021-07-27,151442.76,7.58,13591.13
6,2021-08-27,152152.71,7.67,13661.16
6,2021-09-26,157587.11,7.75,13598.81
6,2021-10-26,150927.18,7.83,13664.24
6,2021-11-26,144066.56,7.92,13627.02
6,2021-12-26,145957.5,8.0,13795.59
6,2022-01-25,154835.7,8.08,13996.11
6,2022-02-24,150258.69,8.17,14088.35
6,2022-03-27,155203.92,8.25,14188.76
6,2022-04-26,150424.08,8.33,14138.83
6,2022-05-26,142770.84,8.42,14092.68
6,2022-06-25,151343.27,8.5,14299.71
6,2022-07-25,153174.62,8.58,14470.18
6,2022-08-25,153874.52,8.67,14435.03
6,2022-09-24,159092.62,8.75,14466.86
6,2022-10-24,152477.3,8.83,14532.79
6,2022-11-23,145574.96,8.92,14537.47
6,2022-12-23,147303.99,9.0,14674.28
7,2018-01-01,155106.87,7.0,10317.91
7,2018-01-31,157453.8,7.08,10385.1
7,2018-03-02,147597.74,7.17,10012.22
7,2018-04-01,152152.57,7.25,9531.67
7,2018-05-01,148233.18,7.33,9690.69
7,2018-05-31,141750.25,7.42,10659.62
7,2018-07-01,153523.32,7.5,10300.74
7,2018-07-31,155221.09,7.58,10582.49
7,2018-08-31,156931.44,7.67,10935.08
7,2018-10-01,162950.04,7.75,10156.91
7,2018-10-31,155355.56,7.83,10173.35
7,2018-11-30,149055.38,7.92,10229.08
7,2018-12-31,150009.72,8.0,10484.77
7,2019-01-30,161059.04,8.08,11186.29
7,2019-03-01,156189.6,8.17,11210.02
7,2019-03-31,161933.79,8.25,11283.03
7,2019-05-01,157993.67,8.33,11145.06
7,2019-05-31,151161.41,8.42,11270.44
7,2019-07-01,159515.25,8.5,11295.12
7,2019-07-31,161197.34,8.58,11488.75
7,2019-08-30,162204.24,8.67,11586.35
7,2019-09-30,167481.39,8.75,11603.25
7,2019-10-30,160756.12,8.83,11520.13
7,2019-11-30,154876.18,8.92,11516.48
7,2019-12-30,155830.87,9.0,11762.3
7,2020-01-29,165408.08,9.08,12192.5
7,2020-02-29,160733.66,9.17,12217.16
7,2020-03-30,166659.6,9.25,12365.17
7,2020-04-29,162094.47,9.33,12371.74
7,2020-05-29,155205.29,9.42,12301.69
7,2020-06-29,163886.8,9.5,12497.04
7,2020-07-29,165921.37,9.58,12683.94
7,2020-08-28,166473.17,9.67,12503.24
7,2020-09-28,172020.39,9.75,12834.01
7,2020-10-28,165089.78,9.83,12822.46
7,2020-11-27,158438.38,9.92,12760.31
7,2020-12-28,159821.2,10.0,12920.65
7,2021-01-27,168874.55,10.08,13158.55
7,2021-02-26,164158.52,10.17,13251.64
7,2021-03-29,169211.9,10.25,13360.77
7,2021-04-28,164456.46,10.33,13262.15
7,2021-05-28,156681.09,10.42,13222.18
7,2021-06-27,165249.5,10.5,13418.57
7,2021-07-27,167106.07,10.58,13591.13
7,2021-08-27,167816.02,10.67,13661.16
7,2021-09-26,173250.42,10.75,13598.81
7,2021-10-26,166580.49,10.83,13664.24
7,2021-11-26,159720.07,10.92,13627.02
7,2021-12-26,161610.99,11.0,13795.59
7,2022-01-25,170488.19,11.08,13996.11
7,2022-02-24,165911.18,11.17,14088.35
7,2022-03-27,170857.41,11.25,14188.76
7,2022-04-26,166077.57,11.33,14138.83
7,2022-05-26,158424.33,11.42,14092.68
7,2022-06-25,166996.76,11.5,14299.71
7,2022-07-25,168828.11,11.58,14470.18
7,2022-08-25,169528.01,11.67,14435.03
7,2022-09-24,174746.11,11.75,14466.86
7,2022-10-24,168130.79,11.83,14532.79
7,2022-11-23,161228.39,11.92,14537.47
7,2022-12-23,162957.39,12.0,14674.28
8,2018-01-01,154564.83,7.0,10317.91
8,2018-01-31,156908.11,7.08,10385.1
8,2018-03-02,147067.51,7.17,10012.22
8,2018-04-01,151638.27,7.25,9531.67
8,2018-05-01,147755.32,7.33,9690.69
8,2018-05-31,141249.83,7.42,10659.62
8,2018-07-01,153102.36,7.5,10300.74
8,2018-07-31,154816.65,7.58,10582.49
8,2018-08-31,156386.81,7.67,10935.08
8,2018-10-01,162540.34,7.75,10156.91
8,2018-10-31,154971.36,7.83,10173.35
8,2018-11-30,148707.34,7.92,10229.08
8,2018-12-31,149582.94,8.0,10484.77
8,2019-01-30,160734.76,8.08,11186.29
8,2019-03-01,155907.1,8.17,11210.02
8,2019-03-31,161621.25,8.25,11283.03
8,2019-05-01,157789.82,8.33,11145.06
8,2019-05-31,150980.79,8.42,11270.44
8,2019-07-01,159414.53,8.5,11295.12
8,2019-07-31,161046.94,8.58,11488.75
8,2019-08-30,162150.89,8.67,11586.35
8,2019-09-30,167471.95,8.75,11603.25
8,2019-10-30,160611.44,8.83,11520.13
8,2019-11-30,154773.82,8.92,11516.48
8,2019-12-30,155639.95,9.0,11762.3
8,2020-01-29,165365.83,9.08,12192.5
8,2020-02-29,160640.81,9.17,12217.16
8,2020-03-30,166612.78,9.25,12365.17
8,2020-04-29,162052.87,9.33,12371.74
8,2020-05-29,155141.1,9.42,12301.69
8,2020-06-29,163847.3,9.5,12497.04
8,2020-07-29,165931.83,9.58,12683.94
8,2020-08-28,166403.39,9.67,12503.24
8,2020-09-28,172199.13,9.75,12834.01
8,2020-10-28,165184.63,9.83,12822.46
8,2020-11-27,158565.8,9.92,12760.31
8,2020-12-28,159871.65,10.0,12920.65
8,2021-01-27,169138.44,10.08,13158.55
8,2021-02-26,164327.46,10.17,13251.64
8,2021-03-29,169472.3,10.25,13360.77
8,2021-04-28,164727.5,10.33,13262.15
8,2021-05-28,157026.68,10.42,13222.18
8,2021-06-27,165519.79,10.5,13418.57
8,2021-07-27,167388.57,10.58,13591.13
8,2021-08-27,168042.03,10.67,13661.16
8,2021-09-26,173514.53,10.75,13598.81
8,2021-10-26,166907.09,10.83,13664.24
8,2021-11-26,160011.62,10.92,13627.02
8,2021-12-26,161863.55,11.0,13795.59
8,2022-01-25,170735.53,11.08,13996.11
8,2022-02-24,166200.25,11.17,14088.35
8,2022-03-27,171144.54,11.25,14188.76
8,2022-04-26,166310.44,11.33,14138.83
8,2022-05-26,158705.81,11.42,14092.68
8,2022-06-25,167225.5,11.5,14299.71
8,2022-07-25,169057.92,11.58,14470.18
8,2022-08-25,169756.3,11.67,14435.03
8,2022-09-24,174986.45,11.75,14466.86
8,2022-10-24,168374.11,11.83,14532.79
8,2022-11-23,161492.65,11.92,14537.47
8,2022-12-23,163225.64,12.0,14674.28
9,2018-01-01,153549.99,7.0,10317.91
9,2018-01-31,155893.27,7.08,10385.1
9,2018-03-02,146052.67,7.17,10012.22
9,2018-04-01,150623.43,7.25,9531.67
9,2018-05-01,146740.48,7.33,9690.69
9,2018-05-31,140235.0,7.42,10659.62
9,2018-07-01,152087.53,7.5,10300.74
9,2018-07-31,153801.82,7.58,10582.49
9,2018-08-31,155371.98,7.67,10935.08
9,2018-10-01,161525.51,7.75,10156.91
9,2018-10-31,153956.53,7.83,10173.35
9,2018-11-30,147692.51,7.92,10229.08
9,2018-12-31,148568.11,8.0,10484.77
9,2019-01-30,159719.93,8.08,11186.29
9,2019-03-01,154892.27,8.17,11210.02
9,2019-03-31,160606.42,8.25,11283.03
9,2019-05-01,156774.99,8.33,11145.06
9,2019-05-31,149965.96,8.42,11270.44
9,2019-07-01,158400.69,8.5,11295.12
9,2019-07-31,160033.09,8.58,11488.75
9,2019-08-30,161137.04,8.67,11586.35
9,2019-09-30,166457.94,8.75,11603.25
9,2019-10-30,159596.6,8.83,11520.13
9,2019-11-30,153758.98,8.92,11516.48
9,2019-12-30,154625.09,9.0,11762.3
9,2020-01-29,164350.99,9.08,12192.5
9,2020-02-29,159625.96,9.17,12217.16
9,2020-03-30,165597.94,9.25,12365.17
9,2020-04-29,161038.03,9.33,12371.74
9,2020-05-29,154126.26,9.42,12301.69
9,2020-06-29,162832.8,9.5,12497.04
9,2020-07-29,164917.33,9.58,12683.94
9,2020-08-28,165388.89,9.67,12503.24
9,2020-09-28,171184.62,9.75,12834.01
9,2020-10-28,164170.12,9.83,12822.46
9,2020-11-27,157551.3,9.92,12760.31
9,2020-12-28,158856.14,10.0,12920.65
9,2021-01-27,168122.93,10.08,13158.55
9,2021-02-26,163311.95,10.17,13251.64
9,2021-03-29,168456.89,10.25,13360.77
9,2021-04-28,163711.09,10.33,13262.15
9,2021-05-28,155990.27,10.42,13222.18
9,2021-06-27,164478.78,10.5,13418.57
9,2021-07-27,166347.55,10.58,13591.13
9,2021-08-27,167000.99,10.67,13661.16
9,2021-09-26,172473.5,10.75,13598.81
9,2021-10-26,165865.99,10.83,13664.24
9,2021-11-26,158970.52,10.92,13627.02
9,2021-12-26,160862.46,11.0,13795.59
9,2022-01-25,169734.44,11.08,13996.11
9,2022-02-24,165157.43,11.17,14088.35
9,2022-03-27,170103.66,11.25,14188.76
9,2022-04-26,165278.82,11.33,14138.83
9,2022-05-26,157625.58,11.42,14092.68
9,2022-06-25,166198.01,11.5,14299.71
9,2022-07-25,168029.36,11.58,14470.18
9,2022-08-25,168729.26,11.67,14435.03
9,2022-09-24,173947.36,11.75,14466.86
9,2022-10-24,167332.04,11.83,14532.79
9,2022-11-23,160430.69,11.92,14537.47
9,2022-12-23,162159.69,12.0,14674.28
10,2018-01-01,148281.33,5.0,10317.91
10,2018-01-31,150628.2,5.08,10385.1
10,2018-03-02,140762.13,5.17,10012.22
10,2018-04-01,145316.24,5.25,9531.67
10,2018-05-01,141396.85,5.33,9690.69
10,2018-05-31,134913.92,5.42,10659.62
10,2018-07-01,146687.0,5.5,10300.74
10,2018-07-31,148384.77,5.58,10582.49
10,2018-08-31,150094.12,5.67,10935.08
10,2018-10-01,156112.41,5.75,10156.91
10,2018-10-31,148517.93,5.83,10173.35
10,2018-11-30,142217.75,5.92,10229.08
10,2018-12-31,143172.09,6.0,10484.77
10,2019-01-30,154227.41,6.08,11186.29
10,2019-03-01,149357.97,6.17,11210.02
10,2019-03-31,155101.56,6.25,11283.03
10,2019-05-01,151161.45,6.33,11145.06
10,2019-05-31,144329.19,6.42,11270.44
10,2019-07-01,152881.69,6.5,11295.12
10,2019-07-31,154513.67,6.58,11488.75
10,2019-08-30,155521.65,6.67,11586.35
10,2019-09-30,160798.73,6.75,11603.25
10,2019-10-30,153932.88,6.83,11520.13
10,2019-11-30,148082.75,6.92,11516.48
10,2019-12-30,149037.1,7.0,11762.3
10,2020-01-29,158414.89,7.08,12192.5
10,2020-02-29,153740.47,7.17,12217.16
10,2020-03-30,159660.91,7.25,12365.17
10,2020-04-29,155005.78,7.33,12371.74
10,2020-05-29,148116.51,7.42,12301.69
10,2020-06-29,156797.51,7.5,12497.04
10,2020-07-29,158832.08,7.58,12683.94
10,2020-08-28,159383.88,7.67,12503.24
10,2020-09-28,164931.09,7.75,12834.01
10,2020-10-28,157999.49,7.83,12822.46
10,2020-11-27,151348.09,7.92,12760.31
10,2020-12-28,152730.91,8.0,12920.65
10,2021-01-27,161784.25,8.08,13158.55
10,2021-02-26,157068.22,8.17,13251.64
10,2021-03-29,162121.6,8.25,13360.77
10,2021-04-28,157366.16,8.33,13262.15
10,2021-05-28,149590.79,8.42,13222.18
10,2021-06-27,158159.2,8.5,13418.57
10,2021-07-27,160015.77,8.58,13591.13
10,2021-08-27,160725.72,8.67,13661.16
10,2021-09-26,166160.12,8.75,13598.81
10,2021-10-26,159490.19,8.83,13664.24
10,2021-11-26,152629.67,8.92,13627.02
10,2021-12-26,154520.61,9.0,13795.59
10,2022-01-25,163392.59,9.08,13996.11
10,2022-02-24,158815.58,9.17,14088.35
10,2022-03-27,163761.81,9.25,14188.76
10,2022-04-26,158981.97,9.33,14138.83
10,2022-05-26,151328.73,9.42,14092.68
10,2022-06-25,159901.16,9.5,14299.71
10,2022-07-25,161732.51,9.58,14470.18
10,2022-08-25,162432.41,9.67,14435.03
