pais,fecha,tasa_finalizacion,mexico,post_lanzamiento,interaccion,nivel_socioeconomico,intensidad_uso_plataforma_pre
Mexico,2026-01-01,0.610196726297314,1,1,1,5.32049187382025,9.444853018247065
Colombia,2025-12-01,0.4851253456885444,0,0,0,4.020228384218318,11.02672728956973
Mexico,2025-11-01,0.5312061266014389,1,0,0,5.806659169695627,9.30230219662705
Colombia,2026-05-01,0.5126749942709191,0,1,0,4.453006240032774,11.232338604975514
Mexico,2026-05-01,0.6099518593411444,1,1,1,5.550186591343715,10.231735105267323
Colombia,2026-02-01,0.5097034151328905,0,1,0,4.475176162234551,10.865360980556208
Mexico,2025-12-01,0.5332560384784405,1,0,0,5.659616091392652,10.669818815124976
Colombia,2026-06-01,0.5074251260846066,0,1,0,4.288235473792011,10.638706346766446
Mexico,2026-06-01,0.6019683955615655,1,1,1,5.161206950294977,10.730335029015942
Colombia,2025-07-01,0.4907923761803525,0,0,0,4.195079637375685,10.150821360183021
Mexico,2025-10-01,0.5283437299047248,1,0,0,5.195779032596825,10.492582847146592
Colombia,2025-11-01,0.4944983995893325,0,0,0,4.767988344583162,10.621415053245464
Mexico,2026-03-01,0.6095984638779017,1,1,1,5.207000851897368,7.942940608519184
Colombia,2026-01-01,0.5106511475759711,0,1,0,4.996116812836253,10.74836606015525
Mexico,2025-07-01,0.530368146603073,1,0,0,5.253050186638841,9.80332829285744
Colombia,2025-08-01,0.4912903510008064,0,0,0,4.402660161474136,10.457891820468903
Mexico,2026-04-01,0.6080353148154695,1,1,1,5.328373718919696,7.561556391494793
Colombia,2026-04-01,0.5109592751509177,0,1,0,4.471676839352934,11.238421453966598
Mexico,2025-08-01,0.5298585474773822,1,0,0,5.132840679802083,9.584346761858004
Colombia,2026-03-01,0.5126388496464673,0,1,0,4.354124970425026,10.297495000969588
Mexico,2026-01-01,0.6120807099710387,1,1,1,5.437989305149957,9.395724212799344
Colombia,2025-10-01,0.4920215974052349,0,0,0,4.607490076045331,10.499690184285465
Mexico,2025-09-01,0.530689849200086,1,0,0,5.559388147162608,9.136897282717088
Colombia,2026-02-01,0.5098909848243673,0,1,0,4.498871038615334,11.146522851759606
Mexico,2025-11-01,0.5290457199427382,1,0,0,5.155705353086776,9.155787677465942
Colombia,2025-07-01,0.4992983196883213,0,0,0,4.568474251786576,10.662491142289657
Mexico,2026-05-01,0.608753239458908,1,1,1,5.321359679919539,10.276686111162354
Colombia,2025-09-01,0.491689230556108,0,0,0,4.407185563945722,10.609204000490196
Mexico,2026-06-01,0.6053303866166166,1,1,1,5.207850257321689,10.70617066922579
Colombia,2026-05-01,0.5100033100224151,0,1,0,4.305214065288219,10.975459345705663
Mexico,2025-12-01,0.5301133333333333,1,0,0,5.666666666666667,10.0
Colombia,2026-06-01,0.5055010079965027,0,1,0,4.041639014285223,10.155462841443685
Mexico,2025-07-01,0.5367605990422329,1,0,0,5.539257692257929,9.453303102640237
Colombia,2025-07-01,0.4992983196883213,0,0,0,4.568474251786576,10.662491142289657
Mexico,2026-04-01,0.6080353148154695,1,1,1,5.328373718919696,7.561556391494793
Colombia,2025-08-01,0.4912903510008064,0,0,0,4.402660161474136,10.457891820468903
Mexico,2025-08-01,0.5298585474773822,1,0,0,5.132840679802083,9.584346761858004
Colombia,2026-04-01,0.5109592751509177,0,1,0,4.471676839352934,11.238421453966598
Mexico,2025-09-01,0.530689849200086,1,0,0,5.559388147162608,9.136897282717088
Colombia,2025-09-01,0.491689230556108,0,0,0,4.407185563945722,10.609204000490196
Mexico,2025-10-01,0.5283437299047248,1,0,0,5.195779032596825,10.492582847146592
Colombia,2025-10-01,0.4920215974052349,0,0,0,4.607490076045331,10.499690184285465
Mexico,2025-11-01,0.5290457199427382,1,0,0,5.155705353086776,9.155787677465942
Colombia,2025-11-01,0.4944983995893325,0,0,0,4.767988344583162,10.621415053245464
Mexico,2025-12-01,0.5332560384784405,1,0,0,5.659616091392652,10.669818815124976
Colombia,2025-12-01,0.4851253456885444,0,0,0,4.020228384218318,11.02672728956973
Mexico,2026-01-01,0.6120807099710387,1,1,1,5.437989305149957,9.395724212799344
Colombia,2026-01-01,0.5106511475759711,0,1,0,4.996116812836253,10.74836606015525
Mexico,2026-02-01,0.6053327663365893,1,1,1,5.226829141065792,7.404245645511046
Colombia,2026-02-01,0.5098909848243673,0,1,0,4.498871038615334,11.146522851759606
Mexico,2026-03-01,0.6095984638779017,1,1,1,5.207000851897368,7.942940608519184
Colombia,2026-03-01,0.5126388496464673,0,1,0,4.354124970425026,10.297495000969588
Mexico,2026-04-01,0.6080353148154695,1,1,1,5.328373718919696,7.561556391494793
Colombia,2026-04-01,0.5109592751509177,0,1,0,4.471676839352934,11.238421453966598
Mexico,2026-05-01,0.608753239458908,1,1,1,5.321359679919539,10.276686111162354
Colombia,2026-05-01,0.5100033100224151,0,1,0,4.305214065288219,10.975459345705663
Mexico,2026-06-01,0.6053303866166166,1,1,1,5.207850257321689,10.70617066922579
Colombia,2026-06-01,0.5055010079965027,0,1,0,4.041639014285223,10.155462841443685
Mexico,2025-07-01,0.5367605990422329,1,0,0,5.539257692257929,9.453303102640237
Colombia,2025-07-01,0.4992983196883213,0,0,0,4.568474251786576,10.662491142289657
Mexico,2025-08-01,0.5298585474773822,1,0,0,5.132840679802083,9.584346761858004
Colombia,2025-08-01,0.4912903510008064,0,0,0,4.402660161474136,10.457891820468903
Mexico,2025-09-01,0.530689849200086,1,0,0,5.559388147162608,9.136897282717088
Colombia,2025-09-01,0.491689230556108,0,0,0,4.407185563945722,10.609204000490196
Mexico,2025-10-01,0.5283437299047248,1,0,0,5.195779032596825,10.492582847146592
Colombia,2025-10-01,0.4920215974052349,0,0,0,4.607490076045331,10.499690184285465
Mexico,2025-11-01,0.5290457199427382,1,0,0,5.155705353086776,9.155787677465942
Colombia,2025-11-01,0.4944983995893325,0,0,0,4.767988344583162,10.621415053245464
Mexico,2025-12-01,0.5332560384784405,1,0,0,5.659616091392652,10.669818815124976
Colombia,2025-12-01,0.4851253456885444,0,0,0,4.020228384218318,11.02672728956973
Mexico,2026-01-01,0.6120807099710387,1,1,1,5.437989305149957,9.395724212799344
Colombia,2026-01-01,0.5106511475759711,0,1,0,4.996116812836253,10.74836606015525
Mexico,2026-02-01,0.6053327663365893,1,1,1,5.226829141065792,7.404245645511046
Colombia,2026-02-01,0.5098909848243673,0,1,0,4.498871038615334,11.146522851759606
Mexico,2026-03-01,0.6095984638779017,1,1,1,5.207000851897368,7.942940608519184
Colombia,2026-03-01,0.5126388496464673,0,1,0,4.354124970425026,10.297495000969588
Mexico,2026-04-01,0.6080353148154695,1,1,1,5.328373718919696,7.561556391494793
Colombia,2026-04-01,0.5109592751509177,0,1,0,4.471676839352934,11.238421453966598
Mexico,2026-05-01,0.608753239458908,1,1,1,5.321359679919539,10.276686111162354
Colombia,2026-05-01,0.5100033100224151,0,1,0,4.305214065288219,10.975459345705663
Mexico,2026-06-01,0.6053303866166166,1,1,1,5.207850257321689,10.70617066922579
Colombia,2026-06-01,0.5055010079965027,0,1,0,4.041639014285223,10.155462841443685
Mexico,2025-07-01,0.5367605990422329,1,0,0,5.539257692257929,9.453303102640237
Colombia,2025-07-01,0.4992983196883213,0,0,0,4.568474251786576,10.662491142289657
Mexico,2025-08-01,0.5298585474773822,1,0,0,5.132840679802083,9.584346761858004
Colombia,2025-08-01,0.4912903510008064,0,0,0,4.402660161474136,10.457891820468903
Mexico,2025-09-01,0.530689849200086,1,0,0,5.559388147162608,9.136897282717088
Colombia,2025-09-01,0.491689230556108,0,0,0,4.407185563945722,10.609204000490196
Mexico,2025-10-01,0.5283437299047248,1,0,0,5.195779032596825,10.492582847146592
Colombia,2025-10-01,0.4920215974052349,0,0,0,4.607490076045331,10.499690184285465
Mexico,2025-11-01,0.5290457199427382,1,0,0,5.155705353086776,9.155787677465942
Colombia,2025-11-01,0.4944983995893325,0,0,0,4.767988344583162,10.621415053245464
Mexico,2025-12-01,0.5332560384784405,1,0,0,5.659616091392652,10.669818815124976
Colombia,2025-12-01,0.4851253456885444,0,0,0,4.020228384218318,11.02672728956973
Mexico,2026-01-01,0.6120807099710387,1,1,1,5.437989305149957,9.395724212799344
Colombia,2026-01-01,0.5106511475759711,0,1,0,4.996116812836253,10.74836606015525
Mexico,2026-02-01,0.6053327663365893,1,1,1,5.226829141065792,7.404245645511046
Colombia,2026-02-01,0.5098909848243673,0,1,0,4.498871038615334,11.146522851759606
Mexico,2026-03-01,0.6095984638779017,1,1,1,5.207000851897368,7.942940608519184
Colombia,2026-03-01,0.5126388496464673,0,1,0,4.354124970425026,10.297495000969588
Mexico,2026-04-01,0.6080353148154695,1,1,1,5.328373718919696,7.561556391494793
Colombia,2026-04-01,0.5109592751509177,0,1,0,4.471676839352934,11.238421453966598
Mexico,2026-05-01,0.608753239458908,1,1,1,5.321359679919539,10.276686111162354
Colombia,2026-05-01,0.5100033100224151,0,1,0,4.305214065288219,10.975459345705663
Mexico,2026-06-01,0.6053303866166166,1,1,1,5.207850257321689,10.70617066922579
Colombia,2026-06-01,0.5055010079965027,0,1,0,4.041639014285223,10.155462841443685
Mexico,2025-07-01,0.5367605990422329,1,0,0,5.539257692257929,9.453303102640237
Colombia,2025-07-01,0.4992983196883213,0,0,0,4.568474251786576,10.662491142289657
Mexico,2025-08-01,0.5298585474773822,1,0,0,5.132840679802083,9.584346761858004
Colombia,2025-08-01,0.4912903510008064,0,0,0,4.402660161474136,10.457891820468903
Mexico,2025-09-01,0.530689849200086,1,0,0,5.559388147162608,9.136897282717088
Colombia,2025-09-01,0.491689230556108,0,0,0,4.407185563945722,10.609204000490196
Mexico,2025-10-01,0.5283437299047248,1,0,0,5.195779032596825,10.492582847146592
Colombia,2025-10-01,0.4920215974052349,0,0,0,4.607490076045331,10.499690184285465
Mexico,2025-11-01,0.5290457199427382,1,0,0,5.155705353086776,9.155787677465942
Colombia,2025-11-01,0.4944983995893325,0,0,0,4.767988344583162,10.621415053245464
Mexico,2025-12-01,0.5332560384784405,1,0,0,5.659616091392652,10.669818815124976
Colombia,2025-12-01,0.4851253456885444,0,0,0,4.020228384218318,11.02672728956973
Mexico,2026-01-01,0.6120807099710387,1,1,1,5.437989305149957,9.395724212799344
Colombia,2026-01-01,0.5106511475759711,0,1,0,4.996116812836253,10.74836606015525
Mexico,2026-02-01,0.6053327663365893,1,1,1,5.226829141065792,7.404245645511046
Colombia,2026-02-01,0.5098909848243673,0,1,0,4.498871038615334,11.146522851759606
Mexico,2026-03-01,0.6095984638779017,1,1,1,5.207000851897368,7.942940608519184
Colombia,2026-03-01,0.5126388496464673,0,1,0,4.354124970425026,10.297495000969588
Mexico,2026-04-01,0.6080353148154695,1,1,1,5.328373718919696,7.561556391494793
Colombia,2026-04-01,0.5109592751509177,0,1,0,4.471676839352934,11.238421453966598
Mexico,2026-05-01,0.608753239458908,1,1,1,5.321359679919539,10.276686111162354
Colombia,2026-05-01,0.5100033100224151,0,1,0,4.305214065288219,10.975459345705663
Mexico,2026-06-01,0.6053303866166166,1,1,1,5.207850257321689,10.70617066922579
Colombia,2026-06-01,0.5055010079965027,0,1,0,4.041639014285223,10.155462841443685
Mexico,2025-07-01,0.5367605990422329,1,0,0,5.539257692257929,9.453303102640237
Colombia,2025-07-01,0.4992983196883213,0,0,0,4.568474251786576,10.662491142289657
Mexico,2025-08-01,0.5298585474773822,1,0,0,5.132840679802083,9.584346761858004
Colombia,2025-08-01,0.4912903510008064,0,0,0,4.402660161474136,10.457891820468903
Mexico,2025-09-01,0.530689849200086,1,0,0,5.559388147162608,9.136897282717088
Colombia,2025-09-01,0.491689230556108,0,0,0,4.407185563945722,10.609204000490196
Mexico,2025-10-01,0.5283437299047248,1,0,0,5.195779032596825,10.492582847146592
Colombia,2025-10-01,0.4920215974052349,0,0,0,4.607490076045331,10.499690184285465
Mexico,2025-11-01,0.5290457199427382,1,0,0,5.155705353086776,9.155787677465942
Colombia,2025-11-01,0.4944983995893325,0,0,0,4.767988344583162,10.621415053245464
Mexico,2025-12-01,0.5332560384784405,1,0,0,5.659616091392652,10.669818815124976
Colombia,2025-12-01,0.4851253456885444,0,0,0,4.020228384218318,11.02672728956973
Mexico,2026-01-01,0.6120807099710387,1,1,1,5.437989305149957,9.395724212799344
Colombia,2026-01-01,0.5106511475759711,0,1,0,4.996116812836253,10.74836606015525
Mexico,2026-02-01,0.6053327663365893,1,1,1,5.226829141065792,7.404245645511046
Colombia,2026-02-01,0.5098909848243673,0,1,0,4.498871038615334,11.146522851759606
Mexico,2026-03-01,0.6095984638779017,1,1,1,5.207000851897368,7.942940608519184
Colombia,2026-03-01,0.5126388496464673,0,1,0,4.354124970425026,10.297495000969588
Mexico,2026-04-01,0.6080353148154695,1,1,1,5.328373718919696,7.561556391494793
Colombia,2026-04-01,0.5109592751509177,0,1,0,4.471676839352934,11.238421453966598
Mexico,2026-05-01,0.608753239458908,1,1,1,5.321359679919539,10.276686111162354
Colombia,2026-05-01,0.5100033100224151,0,1,0,4.305214065288219,10.975459345705663
Mexico,2026-06-01,0.6053303866166166,1,1,1,5.207850257321689,10.70617066922579
Colombia,2026-06-01,0.5055010079965027,0,1,0,4.041639014285223,10.155462841443685
Mexico,2025-07-01,0.5367605990422329,1,0,0,5.539257692257929,9.453303102640237
Colombia,2025-07-01,0.4992983196883213,0,0,0,4.568474251786576,10.662491142289657
Mexico,2025-08-01,0.5298585474773822,1,0,0,5.132840679802083,9.584346761858004
Colombia,2025-08-01,0.4912903510008064,0,0,0,4.402660161474136,10.457891820468903
Mexico,2025-09-01,0.530689849200086,1,0,0,5.559388147162608,9.136897282717088
Colombia,2025-09-01,0.491689230556108,0,0,0,4.407185563945722,10.609204000490196
Mexico,2025-10-01,0.5283437299047248,1,0,0,5.195779032596825,10.492582847146592
Colombia,2025-10-01,0.4920215974052349,0,0,0,4.607490076045331,10.499690184285465
Mexico,2025-11-01,0.5290457199427382,1,0,0,5.155705353086776,9.155787677465942
Colombia,2025-11-01,0.4944983995893325,0,0,0,4.767988344583162,10.621415053245464
Mexico,2025-12-01,0.5332560384784405,1,0,0,5.659616091392652,10.669818815124976
Colombia,2025-12-01,0.4851253456885444,0,0,0,4.020228384218318,11.02672728956973
Mexico,2026-01-01,0.6120807099710387,1,1,1,5.437989305149957,9.395724212799344
Colombia,2026-01-01,0.5106511475759711,0,1,0,4.996116812836253,10.74836606015525
Mexico,2026-02-01,0.6053327663365893,1,1,1,5.226829141065792,7.404245645511046
Colombia,2026-02-01,0.5098909848243673,0,1,0,4.498871038615334,11.146522851759606
Mexico,2026-03-01,0.6095984638779017,1,1,1,5.207000851897368,7.942940608519184
Colombia,2026-03-01,0.5126388496464673,0,1,0,4.354124970425026,10.297495000969588
Mexico,2026-04-01,0.6080353148154695,1,1,1,5.328373718919696,7.561556391494793
Colombia,2026-04-01,0.5109592751509177,0,1,0,4.471676839352934,11.238421453966598
Mexico,2026-05-01,0.608753239458908,1,1,1,5.321359679919539,10.276686111162354
Colombia,2026-05-01,0.5100033100224151,0,1,0,4.305214065288219,10.975459345705663
Mexico,2026-06-01,0.6053303866166166,1,1,1,5.207850257321689,10.70617066922579
Colombia,2026-06-01,0.5055010079965027,0,1,0,4.041639014285223,10.155462841443685
Mexico,2025-07-01,0.5367605990422329,1,0,0,5.539257692257929,9.453303102640237
Colombia,2025-07-01,0.4992983196883213,0,0,0,4.568474251786576,10.662491142289657
Mexico,2025-08-01,0.5298585474773822,1,0,0,5.132840679802083,9.584346761858004
Colombia,2025-08-01,0.4912903510008064,0,0,0,4.402660161474136,10.457891820468903
Mexico,2025-09-01,0.530689849200086,1,0,0,5.559388147162608,9.136897282717088
Colombia,2025-09-01,0.491689230556108,0,0,0,4.407185563945722,10.609204000490196
Mexico,2025-10-01,0.5283437299047248,1,0,0,5.195779032596825,10.492582847146592
Colombia,2025-10-01,0.4920215974052349,0,0,0,4.607490076045331,10.499690184285465
Mexico,2025-11-01,0.5290457199427382,1,0,0,5.155705353086776,9.155787677465942
Colombia,2025-11-01,0.4944983995893325,0,0,0,4.767988344583162,10.621415053245464
Mexico,2025-12-01,0.5332560384784405,1,0,0,5.659616091392652,10.669818815124976
Colombia,2025-12-01,0.4851253456885444,0,0,0,4.020228384218318,11.02672728956973
Mexico,2026-01-01,0.6120807099710387,1,1,1,5.437989305149957,9.395724212799344
Colombia,2026-01-01,0.5106511475759711,0,1,0,4.996116812836253,10.74836606015525
Mexico,2026-02-01,0.6053327663365893,1,1,1,5.226829141065792,7.404245645511046
Colombia,2026-02-01,0.5098909848243673,0,1,0,4.498871038615334,11.146522851759606
Mexico,2026-03-01,0.6095984638779017,1,1,1,5.207000851897368,7.942940608519184
Colombia,2026-03-01,0.5126388496464673,0,1,0,4.354124970425026,10.297495000969588
Mexico,2026-04-01,0.6080353148154695,1,1,1,5.328373718919696,7.561556391494793
Colombia,2026-04-01,0.5109592751509177,0,1,0,4.471676839352934,11.238421453966598
Mexico,2026-05-01,0.608753239458908,1,1,1,5.321359679919539,10.276686111162354
Colombia,2026-05-01,0.5100033100224151,0,1,0,4.305214065288219,10.975459345705663
Mexico,2026-06-01,0.6053303866166166,1,1,1,5.207850257321689,10.70617066922579
Colombia,2026-06-01,0.5055010079965027,0,1,0,4.041639014285223,10.155462841443685
Mexico,2025-07-01,0.5367605990422329,1,0,0,5.539257692257929,9.453303102640237
Colombia,2025-07-01,0.4992983196883213,0,0,0,4.568474251786576,10.662491142289657
Mexico,2025-08-01,0.5298585474773822,1,0,0,5.132840679802083,9.584346761858004
Colombia,2025-08-01,0.4912903510008064,0,0,0,4.402660161474136,10.457891820468903
Mexico,2025-09-01,0.530689849200086,1,0,0,5.559388147162608,9.136897282717088
Colombia,2025-09-01,0.491689230556108,0,0,0,4.407185563945722,10.609204000490196
Mexico,2025-10-01,0.5283437299047248,1,0,0,5.195779032596825,10.492582847146592
Colombia,2025-10-01,0.4920215974052349,0,0,0,4.607490076045331,10.499690184285465
Mexico,2025-11-01,0.5290457199427382,1,0,0,5.155705353086776,9.155787677465942
Colombia,2025-11-01,0.4944983995893325,0,0,0,4.767988344583162,10.621415053245464
Mexico,2025-12-01,0.5332560384784405,1,0,0,5.659616091392652,10.669818815124976
Colombia,2025-12-01,0.4851253456885444,0,0,0,4.020228384218318,11.02672728956973
Mexico,2026-01-01,0.6120807099710387,1,1,1,5.437989305149957,9.395724212799344
Colombia,2026-01-01,0.5106511475759711,0,1,0,4.996116812836253,10.74836606015525
Mexico,2026-02-01,0.6053327663365893,1,1,1,5.226829141065792,7.404245645511046
Colombia,2026-02-01,0.5098909848243673,0,1,0,4.498871038615334,11.146522851759606
Mexico,2026-03-01,0.6095984638779017,1,1,1,5.207000851897368,7.942940608519184
Colombia,2026-03-01,0.5126388496464673,0,1,0,4.354124970425026,10.297495000969588
Mexico,2026-04-01,0.6080353148154695,1,1,1,5.328373718919696,7.561556391494793
Colombia,2026-04-01,0.5109592751509177,0,1,0,4.471676839352934,11.238421453966598
Mexico,2026-05-01,0.608753239458908,1,1,1,5.321359679919539,10.276686111162354
Colombia,2026-05-01,0.5100033100224151,0,1,0,4.305214065288219,10.975459345705663
Mexico,2026-06-01,0.6053303866166166,1,1,1,5.207850257321689,10.70617066922579
Colombia,2026-06-01,0.5055010079965027,0,1,0,4.041639014285223,10.155462841443685
Mexico,2025-07-01,0.5367605990422329,1,0,0,5.539257692257929,9.453303102640237
Colombia,2025-07-01,0.4992983196883213,0,0,0,4.568474251786576,10.662491142289657
Mexico,2025-08-01,0.5298585474773822,1,0,0,5.132840679802083,9.584346761858004
Colombia,2025-08-01,0.4912903510008064,0,0,0,4.402660161474136,10.457891820468903
Mexico,2025-09-01,0.530689849200086,1,0,0,5.559388147162608,9.136897282717088
Colombia,2025-09-01,0.491689230556108,0,0,0,4.407185563945722,10.609204000490196
Mexico,2025-10-01,0.5283437299047248,1,0,0,5.195779032596825,10.492582847146592
Colombia,2025-10-01,0.4920215974052349,0,0,0,4.607490076045331,10.499690184285465
Mexico,2025-11-01,0.5290457199427382,1,0,0,5.155705353086776,9.155787677465942
Colombia,2025-11-01,0.4944983995893325,0,0,0,4.767988344583162,10.621415053245464
Mexico,2025-12-01,0.5332560384784405,1,0,0,5.659616091392652,10.669818815124976
Colombia,2025-12-01,0.4851253456885444,0,0,0,4.020228384218318,11.02672728956973
Mexico,2026-01-01,0.6120807099710387,1,1,1,5.437989305149957,9.395724212799344
Colombia,2026-01-01,0.5106511475759711,0,1,0,4.996116812836253,10.74836606015525
Mexico,2026-02-01,0.6053327663365893,1,1,1,5.226829141065792,7.404245645511046
Colombia,2026-02-01,0.5098909848243673,0,1,0,4.498871038615334,11.146522851759606
Mexico,2026-03-01,0.6095984638779017,1,1,1,5.207000851897368,7.942940608519184
Colombia,2026-03-01,0.5126388496464673,0,1,0,4.354124970425026,10.297495000969588
Mexico,2026-04-01,0.6080353148154695,1,1,1,5.328373718919696,7.561556391494793
Colombia,2026-04-01,0.5109592751509177,0,1,0,4.471676839352934,11.238421453966598
Mexico,2026-05-01,0.608753239458908,1,1,1,5.321359679919539,10.276686111162354
Colombia,2026-05-01,0.5100033100224151,0,1,0,4.305214065288219,10.975459345705663
Mexico,2026-06-01,0.6053303866166166,1,1,1,5.207850257321689,10.70617066922579
Colombia,2026-06-01,0.5055010079965027,0,1,0,4.041639014285223,10.155462841443685
Mexico,2025-07-01,0.5367605990422329,1,0,0,5.539257692257929,9.453303102640237
Colombia,2025-07-01,0.4992983196883213,0,0,0,4.568474251786576,10.662491142289657
Mexico,2025-08-01,0.5298585474773822,1,0,0,5.132840679802083,9.584346761858004
Colombia,2025-08-01,0.4912903510008064,0,0,0,4.402660161474136,10.457891820468903
Mexico,2025-09-01,0.530689849200086,1,0,0,5.559388147162608,9.136897282717088
Colombia,2025-09-01,0.491689230556108,0,0,0,4.407185563945722,10.609204000490196
Mexico,2025-10-01,0.5283437299047248,1,0,0,5.195779032596825,10.492582847146592
Colombia,2025-10-01,0.4920215974052349,0,0,0,4.607490076045331,10.499690184285465
Mexico,2025-11-01,0.5290457199427382,1,0,0,5.155705353086776,9.155787677465942
Colombia,2025-11-01,0.4944983995893325,0,0,0,4.767988344583162,10.621415053245464
Mexico,2025-12-01,0.5332560384784405,1,0,0,5.659616091392652,10.669818815124976
Colombia,2025-12-01,0.4851253456885444,0,0,0,4.020228384218318,11.02672728956973
Mexico,2026-01-01,0.6120807099710387,1,1,1,5.437989305149957,9.395724212799344
Colombia,2026-01-01,0.5106511475759711,0,1,0,4.996116812836253,10.74836606015525
Mexico,2026-02-01,0.6053327663365893,1,1,1,5.226829141065792,7.404245645511046
Colombia,2026-02-01,0.5098909848243673,0,1,0,4.498871038615334,11.146522851759606
Mexico,2026-03-01,0.6095984638779017,1,1,1,5.207000851897368,7.942940608519184
Colombia,2026-03-01,0.5126388496464673,0,1,0,4.354124970425026,10.297495000969588
Mexico,2026-04-01,0.6080353148154695,1,1,1,5.328373718919696,7.561556391494793
Colombia,2026-04-01,0.5109592751509177,0,1,0,4.471676839352934,11.238421453966598
Mexico,2026-05-01,0.608753239458908,1,1,1,5.321359679919539,10.276686111162354
Colombia,2026-05-01,0.5100033100224151,0,1,0,4.305214065288219,10.975459345705663
Mexico,2026-06-01,0.6053303866166166,1,1,1,5.207850257321689,10.70617066922579
Colombia,2026-06-01,0.5055010079965027,0,1,0,4.041639014285223,10.155462841443685
Mexico,2025-07-01,0.5367605990422329,1,0,0,5.539257692257929,9.453303102640237
Colombia,2025-07-01,0.4992983196883213,0,0,0,4.568474251786576,10.662491142289657
Mexico,2025-08-01,0.5298585474773822,1,0,0,5.132840679802083,9.584346761858004
Colombia,2025-08-01,0.4912903510008064,0,0,0,4.402660161474136,10.457891820468903
Mexico,2025-09-01,0.530689849200086,1,0,0,5.559388147162608,9.136897282717088
Colombia,2025-09-01,0.491689230556108,0,0,0,4.407185563945722,10.609204000490196
Mexico,2025-10-01,0.5283437299047248,1,0,0,5.195779032596825,10.492582847146592
